index,Airline,Date_of_Journey,Source,Destination,Dep_Time,Duration,Total_Stops,Additional_Info,Price,departure,duration_mins,arrival
0,Jet Airways,03-01-2019,Banglore,New Delhi,11:40,13h 5m,1 stop,No info,26890,03-01-2019 11:40,785,04-01-2019 00:45
1,SpiceJet,03-01-2019,Banglore,New Delhi,15:35,8h 5m,1 stop,1 Long layover,7744,03-01-2019 15:35,485,03-01-2019 23:40
2,Jet Airways,03-01-2019,Banglore,New Delhi,08:00,12h 20m,1 stop,No info,27992,03-01-2019 08:00,740,03-01-2019 20:20
3,Air India,03-01-2019,Banglore,New Delhi,08:50,39h 5m,2 stops,No info,17135,03-01-2019 08:50,2345,04-01-2019 23:55
4,Jet Airways,03-01-2019,Banglore,New Delhi,11:40,23h 45m,1 stop,No info,25735,03-01-2019 11:40,1425,04-01-2019 11:25
5,Air India,03-01-2019,Banglore,New Delhi,10:30,10h 55m,2 stops,No info,11213,03-01-2019 10:30,655,03-01-2019 21:25
6,Air India,03-01-2019,Banglore,New Delhi,10:30,7h 15m,2 stops,Change airports,17461,03-01-2019 10:30,435,03-01-2019 17:45
7,Air India,03-01-2019,Banglore,New Delhi,05:50,30h 25m,3 stops,No info,12346,03-01-2019 05:50,1825,04-01-2019 12:15
8,Jet Airways,03-01-2019,Banglore,New Delhi,08:00,23h 40m,1 stop,No info,22270,03-01-2019 08:00,1420,04-01-2019 07:40
9,IndiGo,03-01-2019,Chennai,Kolkata,07:55,2h 20m,non-stop,No info,8580,03-01-2019 07:55,140,03-01-2019 10:15
10,Air India,03-01-2019,Delhi,Cochin,09:45,22h 30m,1 stop,No info,22798,03-01-2019 09:45,1350,04-01-2019 08:15
11,IndiGo,03-01-2019,Chennai,Kolkata,13:20,2h 15m,non-stop,No info,7295,03-01-2019 13:20,135,03-01-2019 15:35
12,Air India,03-01-2019,Banglore,New Delhi,05:50,16h 20m,2 stops,Change airports,13366,03-01-2019 05:50,980,03-01-2019 22:10
13,IndiGo,03-01-2019,Kolkata,Banglore,15:10,2h 35m,non-stop,No info,6565,03-01-2019 15:10,155,03-01-2019 17:45
14,IndiGo,03-01-2019,Mumbai,Hyderabad,16:55,1h 30m,non-stop,No info,8853,03-01-2019 16:55,90,03-01-2019 18:25
